id|fecha_captura|precio|ubicacion|habitaciones|banos|area|precio_m2|fecha_publicacion|extras|web|descripcion
5919671008760626541|2024-09-06|132369|Quito, Quito|1|1|64|2068|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 64 m² con 1 habitación y 1 baño que está disponible para en venta.. Puede comprar esta propiedad a partir de $132,369 ($2,068/m²).
8442388380830800737|2024-09-06|179119|Quito, Quito|2|2|78|2296|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 78 m² con 2 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $179,119 ($2,296/m²).
-7555447242166059023|2024-09-06|203580|Tumbaco, Quito|2|2|111|1834|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 111 m² con 2 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $203,580 ($1,834/m²).
-1306849737358708737|2024-09-06|203962|Tumbaco, Quito|2|2|111|1837|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 111 m² con 2 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $203,962 ($1,837/m²).
-6085439667223904694|2024-09-06|264090|Tumbaco, Quito|2|2|143|1847|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 143 m² con 2 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $264,090 ($1,847/m²).
-5947809098009938918|2024-09-06|302400|Tumbaco, Quito|3|3|165|1833|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 165 m² con 3 habitaciones y 3 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $302,400 ($1,833/m²).
4318829231444479166|2024-09-06|292140|Tumbaco, Quito|3|3|174|1679|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 174 m² con 3 habitaciones y 3 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $292,140 ($1,679/m²).
-1558290321718909963|2024-09-06|396390|Tumbaco, Quito|3|4|244|1625|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 244 m² con 3 habitaciones y 4 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $396,390 ($1,625/m²).
3432297168460927563|2024-09-06|359185|Cumbaya, Quito|3|3|193|1861|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 193 m² con 3 habitaciones y 3 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $359,185 ($1,861/m²).
-612198971627075241|2024-09-06|127000|Guangopolo, Quito|2|1|92|1380|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 92 m² con 2 habitaciones y 1 baño que está disponible para en venta.. Puede comprar esta propiedad a partir de $127,000 ($1,380/m²).
-1361555779435021783|2024-09-06|127727|Quito, Quito|1|1|47|2718|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 47 m² con 1 habitación y 1 baño que está disponible para en venta.. Puede comprar esta propiedad a partir de $127,727 ($2,718/m²).
5412882221440422879|2024-09-06|153759|Quito, Quito|2|2|80|1922|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 80 m² con 2 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $153,759 ($1,922/m²).
-7623554212233069598|2024-09-06|141464|Quito, Quito|2|2|76|1861|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 76 m² con 2 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $141,464 ($1,861/m²).
4939149547871736189|2024-09-06|213837|Quito, Quito|3|2|112|1909|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 112 m² con 3 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $213,837 ($1,909/m²).
-9095688393138789496|2024-09-06|251910|Quito, Quito|3|2|105|2399|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 105 m² con 3 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $251,910 ($2,399/m²).
-5682189931716511805|2024-09-06|243750|Cumbaya, Quito|2|1|115|2120|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 115 m² con 2 habitaciones y 1 baño que está disponible para en venta.. Puede comprar esta propiedad a partir de $243,750 ($2,120/m²).
-7314135236457310099|2024-09-06|190000|Nayon, Quito|3|2|140|1357|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 140 m² con 3 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $190,000 ($1,357/m²).
-5752952921572181403|2024-09-06|180000|Guangopolo, Quito|4|2|200|900|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 200 m² con 4 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $180,000 ($900/m²).
-8319440807373886769|2024-09-06|123869|Quito, Quito|1|1|51|2429|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 51 m² con 1 habitación y 1 baño que está disponible para en venta.. Puede comprar esta propiedad a partir de $123,869 ($2,429/m²).
-6951053529478360383|2024-09-06|284993|Quito, Quito|2|2|90|3167|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 90 m² con 2 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $284,993 ($3,167/m²).
-9144868205942868695|2024-09-06|324700|Cumbaya, Quito|3|2|128|2537|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 128 m² con 3 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $324,700 ($2,537/m²).
-4440870494282113138|2024-09-06|195045|Tumbaco, Quito|2|2|119|1639|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 119 m² con 2 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $195,045 ($1,639/m²).
-7498615855878523516|2024-09-06|326350|Cumbaya, Quito|3|2|154.85|2108|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 154.85 m² con 3 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $326,350 ($2,108/m²).
-1306849737358708737|2024-09-06|203962|Tumbaco, Quito|2|2|111|1837|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 111 m² con 2 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $203,962 ($1,837/m²).
-5947809098009938918|2024-09-06|302400|Tumbaco, Quito|3|3|165|1833|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 165 m² con 3 habitaciones y 3 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $302,400 ($1,833/m²).
2352765830529342558|2024-09-06|305745|Tumbaco, Quito|3|3|193|1584|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 193 m² con 3 habitaciones y 3 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $305,745 ($1,584/m²).
1032716635050136333|2024-09-06|321278|Quito, Quito|2|2|165|1947|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 165 m² con 2 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $321,278 ($1,947/m²).
2741590371330312422|2024-09-06|125000|Quito, Quito|1|1|150|833|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 150 m² con 1 habitación y 1 baño que está disponible para en venta.. Puede comprar esta propiedad a partir de $125,000 ($833/m²).
-6875368051743017304|2024-09-06|188203|Cumbaya, Quito|2|2|98|1920|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 98 m² con 2 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $188,203 ($1,920/m²).
4178691805988552296|2024-09-06|318050|Cumbaya, Quito|3|2|127|2504|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 127 m² con 3 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $318,050 ($2,504/m²).
7267605401914894643|2024-09-06|302150|Cumbaya, Quito|3|2|117.50|2571|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 117.50 m² con 3 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $302,150 ($2,571/m²).
3401742586773644480|2024-09-06|145890|Tumbaco, Quito|1|1|84|1737|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 84 m² con 1 habitación y 1 baño que está disponible para en venta.. Puede comprar esta propiedad a partir de $145,890 ($1,737/m²).
5388226310425309193|2024-09-06|296744|Cumbaya, Quito|3|3|161|1843|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 161 m² con 3 habitaciones y 3 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $296,744 ($1,843/m²).
-1558290321718909963|2024-09-06|396390|Tumbaco, Quito|3|4|244|1625|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 244 m² con 3 habitaciones y 4 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $396,390 ($1,625/m²).
3778513802153507653|2024-09-06|136400|Cumbaya, Quito|1|1|71.50|1908|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 71.50 m² con 1 habitación y 1 baño que está disponible para en venta.. Puede comprar esta propiedad a partir de $136,400 ($1,908/m²).
2458101050049986464|2024-09-06|323400|Cumbaya, Quito|3|2|147.10|2198|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 147.10 m² con 3 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $323,400 ($2,198/m²).
-5284438989162561150|2024-09-06|323125|Cumbaya, Quito|3|2|134|2411|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 134 m² con 3 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $323,125 ($2,411/m²).
-6707418661746173589|2024-09-06|158197|Quito, Quito|3|2|96.83|1634|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 96.83 m² con 3 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $158,197 ($1,634/m²).
4606505316052057582|2024-09-06|174402|Quito, Quito|3|2|101.82|1713|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 101.82 m² con 3 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $174,402 ($1,713/m²).
-435772203264356669|2024-09-06|75000|Quito, Quito|3|1|106|708|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 106 m² con 3 habitaciones y 1 baño que está disponible para en venta.. Puede comprar esta propiedad a partir de $75,000 ($708/m²).
-8772044823197863164|2024-09-06|243572|Cumbaya, Quito|3|2|129|1888|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 129 m² con 3 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $243,572 ($1,888/m²).
3322578733794802834|2024-09-06|318300|Cumbaya, Quito|3|2|133|2393|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 133 m² con 3 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $318,300 ($2,393/m²).
-8231722091058936329|2024-09-06|144751|Quito, Quito|1|1|84|1723|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 84 m² con 1 habitación y 1 baño que está disponible para en venta.. Puede comprar esta propiedad a partir de $144,751 ($1,723/m²).
1297937963376081926|2024-09-06|285700|Cumbaya, Quito|2|2|134.46|2125|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 134.46 m² con 2 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $285,700 ($2,125/m²).
-1747384294393484698|2024-09-06|169922|Quito, Quito|3|2|101.82|1669|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 101.82 m² con 3 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $169,922 ($1,669/m²).
-6103213982237456852|2024-09-06|204283|Cumbaya, Quito|2|2|98|2085|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 98 m² con 2 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $204,283 ($2,085/m²).
3778513802153507653|2024-09-06|136400|Cumbaya, Quito|1|1|71.50|1908|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 71.50 m² con 1 habitación y 1 baño que está disponible para en venta.. Puede comprar esta propiedad a partir de $136,400 ($1,908/m²).
-4418921220746478728|2024-09-06|345150|Cumbaya, Quito|3|2|134.50|2566|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 134.50 m² con 3 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $345,150 ($2,566/m²).
7715408453814166725|2024-09-06|159696|Quito, Quito|2|1|100|1597|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 100 m² con 2 habitaciones y 1 baño que está disponible para en venta.. Puede comprar esta propiedad a partir de $159,696 ($1,597/m²).
-1286474457936435515|2024-09-06|143000|Cumbaya, Quito|1|1|66|2167|Updated: hace 4 años||Fazwaz|Esta propiedad es un apartamento de 66 m² con 1 habitación y 1 baño que está disponible para en venta.. Puede comprar esta propiedad a partir de $143,000 ($2,167/m²).
