Precio|Área (m²)|Ubicación|Habitaciones|Baños|Nombre de la agencia|Título de la propiedad|Instalaciones
156000|110|Distrito Metropolitano de Quito|2|3|Emma Barragán|Venta Departamento 2 Dormitorios, Cumbayá|Estacionamiento, Internet, Alarma, Armario empotrado, Gas natural, Agua, Electricidad, Sin amoblar, Seguridad, Gimnasio, Ascensor, Conserje, Garita de guardianía
90000|70|Distrito Metropolitano de Quito|2|2|Emma Barragán|Vendo Departamento 2 Dormitorios Sector Bosmediano Y González Suáres|Estacionamiento, Balcón, Cocina equipada, Cocina integral, Jacuzzi, Vista panorámica, Armario empotrado, Gas natural, Agua, Electricidad, Sin amoblar, Seguridad, Piscina, Área para niños, Ascensor, Jardín, Conserje, Parrilla, Garita de guardianía, Acceso para personas con discapacidad
118000|120|Distrito Metropolitano de Quito|3|2|Inmoejecutivos|Vendo Departamento Remodelado Av Gaspar De Villarroel Y Eloy Alfaro.|Estacionamiento, Internet, Cocina equipada, Cocina integral, Jacuzzi, Vista panorámica, Gas natural, Electricidad, Sin amoblar, Terraza, Gimnasio, Ascensor, Sauna, Conserje, Garita de guardianía
229000|186|Distrito Metropolitano de Quito|2|2|Inmoejecutivos|En Cumbayá De Venta Departamento Con Jardín.|Estacionamiento, Internet, Cocina equipada, Cocina integral, Vista panorámica, Patio, Alarma, Armario empotrado, Agua, Electricidad, Parcialmente amoblado, Terraza, Seguridad, Área para niños, Ascensor, Conserje, Parrilla, Garita de guardianía
683000|527|Distrito Metropolitano de Quito|4|5|Proyectos con Futuro|Departamento De Venta Por Estrenar Cumbaya Con Vista, Patio Y Jardin Dentro De Urbanizacion Privada|Estacionamiento, Internet, Cocina integral, Jacuzzi, Patio, Alarma, Armario empotrado, Chimenea, Agua, Electricidad, Parcialmente amoblado, Terraza, Seguridad, Gimnasio, Piscina, Área para niños, Ascensor, Sauna, Jardín, Conserje, Parrilla, Garita de guardianía, Acceso para personas con discapacidad
149600|86|Distrito Metropolitano de Quito|2|3|Intramuros Constructora|Edificio Pontebello - Sector De La González Suárez - Inversión Con Alto Retorno|Estacionamiento, Internet, Balcón, Cocina equipada, Cocina integral, Jacuzzi, Vista panorámica, Patio, Cuarto de servicio, Alarma, Armario empotrado, Agua, Electricidad, Sin amoblar, Terraza, Seguridad, Gimnasio, Piscina, Área para niños, Ascensor, Sauna, Jardín, Conserje, Parrilla, Garita de guardianía, Acceso para personas con discapacidad, Cancha de tenis
106515|55|Distrito Metropolitano de Quito|1|1|Intramuros Constructora|Edificio Nuovo - Departamento 309|Estacionamiento, Internet, Balcón, Cocina equipada, Cocina integral, Jacuzzi, Vista panorámica, Patio, Cuarto de servicio, Alarma, Armario empotrado, Agua, Electricidad, Sin amoblar, Terraza, Seguridad, Gimnasio, Ascensor, Sauna, Jardín, Conserje, Parrilla, Garita de guardianía, Acceso para personas con discapacidad
305652|159|Distrito Metropolitano de Quito|3|4|Intramuros Constructora|Edificio Nuovo - Departamento 302|Estacionamiento, Internet, Balcón, Cocina equipada, Cocina integral, Jacuzzi, Vista panorámica, Patio, Cuarto de servicio, Alarma, Armario empotrado, Agua, Electricidad, Sin amoblar, Terraza, Seguridad, Gimnasio, Piscina, Área para niños, Ascensor, Sauna, Jardín, Conserje, Parrilla, Garita de guardianía, Acceso para personas con discapacidad
134000|136|Distrito Metropolitano de Quito|3|3|Emma Barragán|Venta Departamento 3 Dormitorios Sector Bosmediano, Cerca Al Parque De La Carolina|Estacionamiento, Internet, Balcón, Cocina equipada, Cocina integral, Jacuzzi, Vista panorámica, Patio, Cuarto de servicio, Alarma, Armario empotrado, Agua, Electricidad, Sin amoblar, Terraza, Seguridad, Gimnasio, Piscina, Área para niños, Ascensor, Sauna, Jardín, Conserje, Parrilla, Garita de guardianía, Acceso para personas con discapacidad
220000|327|Distrito Metropolitano de Quito|4|5|Emma Barragán|Venta Amplio Departamento De 3 Dormitorios Sector El Bosque|Estacionamiento, Cocina equipada, Cuarto de servicio, Parcialmente amoblado, Seguridad, Ascensor, Conserje, Garita de guardianía
245000|300|Distrito Metropolitano de Quito|4|5|Emma Barragán|Venta Departamento 4 Dormitorios , Sector La Carolina|Estacionamiento, Cocina equipada, Cocina integral, Vista panorámica, Cuarto de servicio, Parcialmente amoblado, Seguridad, Conserje
94000|116|Distrito Metropolitano de Quito|2|3|Emma Barragán|Venta Departamento 2 Dormitorios, Urb. El Condado|Estacionamiento, Cocina equipada, Cocina integral, Patio, Cuarto de servicio, Armario empotrado, Seguridad, Ascensor, Conserje, Garita de guardianía
110000|79|Distrito Metropolitano de Quito|1|2|Intramuros Constructora|Edificio Pontebello - Sector De La González Suárez - Plusvalía Mas Alta De Quito|N/A
300551|157|Distrito Metropolitano de Quito|3|3|Intramuros Constructora|Edificio Pontebello - $1850 Por M2 - Centro Norte De Quito - Plusvalía Mas Alta De La Ciudad|Estacionamiento, Internet, Balcón, Cocina equipada, Cocina integral, Jacuzzi, Vista panorámica, Patio, Cuarto de servicio, Alarma, Armario empotrado, Agua, Electricidad, Sin amoblar, Terraza, Seguridad, Gimnasio, Ascensor, Sauna, Jardín, Conserje, Parrilla, Garita de guardianía, Acceso para personas con discapacidad
428502|249|Distrito Metropolitano de Quito|3|4|Intramuros Constructora|Edificio Nuovo - Departamento 401|Estacionamiento, Internet, Balcón, Cocina equipada, Cocina integral, Jacuzzi, Vista panorámica, Patio, Cuarto de servicio, Alarma, Armario empotrado, Agua, Electricidad, Sin amoblar, Terraza, Seguridad, Gimnasio, Ascensor, Sauna, Jardín, Conserje, Parrilla, Garita de guardianía, Acceso para personas con discapacidad
627486|464|Distrito Metropolitano de Quito|3|4|Intramuros Constructora|Edificio Nuovo - Departamento 501|Estacionamiento, Internet, Balcón, Cocina equipada, Cocina integral, Jacuzzi, Vista panorámica, Patio, Cuarto de servicio, Alarma, Armario empotrado, Agua, Electricidad, Sin amoblar, Terraza, Seguridad, Gimnasio, Piscina, Área para niños, Ascensor, Sauna, Jardín, Conserje, Parrilla, Garita de guardianía, Acceso para personas con discapacidad
140056|88|Distrito Metropolitano de Quito|1|2|Intramuros Constructora|Edificio Nuovo - Precios De Lanzamiento De Proyecto - Inversión Garantizada|Estacionamiento, Internet, Balcón, Cocina equipada, Cocina integral, Jacuzzi, Vista panorámica, Patio, Cuarto de servicio, Alarma, Armario empotrado, Agua, Electricidad, Sin amoblar, Terraza, Seguridad, Gimnasio, Piscina, Área para niños, Ascensor, Sauna, Jardín, Conserje, Parrilla, Garita de guardianía, Acceso para personas con discapacidad
318994|139|Distrito Metropolitano de Quito|3|4|SU CASA SOBRE LA ROCA|203 Encantador Departamento 3 Dormitorios 139,84 M Más Balcón 8,84 M En El Batán: A Estrenar|Estacionamiento, Internet, Balcón, Cocina equipada, Cocina integral, Jacuzzi, Vista panorámica, Patio, Cuarto de servicio, Alarma, Armario empotrado, Agua, Electricidad, Sin amoblar, Terraza, Seguridad, Gimnasio, Piscina, Área para niños, Ascensor, Sauna, Jardín, Conserje, Parrilla, Garita de guardianía, Acceso para personas con discapacidad
220000|290|Distrito Metropolitano de Quito|3|4|SU CASA SOBRE LA ROCA|Vendo Departamento 3 Dormitorios 156 M Con Vista Y Terraza En El Bosque|Estacionamiento
194039|104|Distrito Metropolitano de Quito|3|3|SU CASA SOBRE LA ROCA|803 Excelente Ubicación. Eloy Alfaro Y El Batán. La Carolina. Departamento 3 Dormitorios 104,02 M Con Balcón 1,92 M. A Estrenar.|Estacionamiento, Internet, Cocina equipada, Cocina integral, Jacuzzi, Vista panorámica, Patio, Armario empotrado, Gas natural, Agua, Electricidad, Terraza, Seguridad, Gimnasio, Piscina, Área para niños, Ascensor, Sauna, Jardín, Conserje, Parrilla, Garita de guardianía, Acceso para personas con discapacidad
