Precio|Título|Ubicación|Precio por m²|Área|Habitaciones|Baños|Descripción|Última Actualización|Tipo de Propiedad|Enlace de Propiedad|Imágenes|Extras
$91,000 ($892/m²)|San Antonio - Quito|Pomasqui, Quito|($892/m²)|($892/m²)|2|2|Esta propiedad es un apartamento de 102 m² con 2 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $91,000 ($892/m²).|Updated: hace 4 años|Apartamento|https://www.fazwaz.com.ec/propiedad-e-Inmueble-venta/2-habitación-apartamento-en-venta-en-san-antonio-quito-en-pomasqui-pichincha-u551740|https://cdn.fazwaz.com/wbr/CEPz828Szr3ABU2xPwKV5lX5olA/67x67/unit/551740/3-6eb4e97299e1fac2fc3d422ccaa3ebb1.jpg, https://cdn.fazwaz.com/wbr/AUmGhlsgZrp9MGWmm6bBoTCDrQ0/67x67/unit/551740/4-f072245b864c5432d288c9b98607cd92.jpg, https://cdn.fazwaz.com/wbr/wGjI86oKXk2EPx4h6d2Fj0Iadtk/67x67/unit/551740/5-86ba9c85d08bdb18111f444775bea8e0.jpg, https://cdn.fazwaz.com/wbr/W7ET7B6SMzy8M1fyiCLOnJEFDbI/67x67/unit/551740/6-51763deddc0b7a833bbdd97467e99c6a.jpg|N/A
$389,858 ($2,142/m²)|K 104: Brand New Modern Condos for Sale In a Privileged Area of Cumbayá|Cumbaya, Quito|($2,142/m²)|($2,142/m²)|3|3|Esta propiedad es un apartamento de 182 m² con 3 habitaciones y 3 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $389,858 ($2,142/m²).|Updated: hace 4 años|Apartamento|https://www.fazwaz.com.ec/propiedad-e-Inmueble-venta/3-habitación-apartamento-en-venta-en-k-104-brand-new-modern-condos-for-sale-in-a-privileged-area-of-cumbaya-en-cumbaya-pichincha-u551758|https://cdn.fazwaz.com/wbr/KJ6L9qVBSiwXmxC2BXTM0c0cDak/67x67/unit/551758/3-42149e3e6ac1fbf1274e427945c0c371.jpg, https://cdn.fazwaz.com/wbr/Ips3c8U6SEERhL7rFNbMbWXAjIY/67x67/unit/551758/4-8d14e4ef84dcf9f3c97fcd85298c74d6.jpg, https://cdn.fazwaz.com/wbr/8pRElxeje495RKKbOhGNBa9cxXk/67x67/unit/551758/5-5474d05b1f14da850a23f480d5f233ae.jpg, https://cdn.fazwaz.com/wbr/tZTd0wso5F7dv5lSXZSEOnU5t7o/67x67/unit/551758/6-40dcdf1b2bf0d70a2bcd5113b38e7e1a.jpg|N/A
$240,000 ($1,739/m²)|La Carolina - Quito|Quito, Quito|($1,739/m²)|($1,739/m²)|3|3|Esta propiedad es un apartamento de 138 m² con 3 habitaciones y 3 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $240,000 ($1,739/m²).|Updated: hace 4 años|Apartamento|https://www.fazwaz.com.ec/propiedad-e-Inmueble-venta/3-habitación-apartamento-en-venta-en-la-carolina-quito-en-quito-pichincha-u551732|https://cdn.fazwaz.com/wbr/tWgfQ0Ckold1oVdOm8DFnnMzdVc/67x67/unit/551732/3-b9f9944787db3fa8354ad0eb6840b1d1.jpg, https://cdn.fazwaz.com/wbr/OqEpLHSd7uABWXWAeT7TO1sX7oE/67x67/unit/551732/4-caadad2516935ea3cc88ca7f8bd93384.jpg, https://cdn.fazwaz.com/wbr/Ov1oDD0inV1ldHI6qmnT7-UpQmY/67x67/unit/551732/5-7aba36a040301cc822491cad757e2fef.jpg, https://cdn.fazwaz.com/wbr/2fF1WQJZgup_Qu6z9GkbRogDEtY/67x67/unit/551732/6-7f2b1ac2068a1a87b545943d7fabc0bf.jpg|N/A
$271,050 ($2,487/m²)|#102 KIRO Cumbayá: INVESTOR ALERT! Luxury 2BR Condo in Zone with High Appreciation|Cumbaya, Quito|($2,487/m²)|($2,487/m²)|2|2|Esta propiedad es un apartamento de 109 m² con 2 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $271,050 ($2,487/m²).|Updated: hace 4 años|Apartamento|https://www.fazwaz.com.ec/propiedad-e-Inmueble-venta/2-habitación-apartamento-en-venta-en-102-kiro-cumbaya-investor-alert-luxury-2br-condo-in-zone-with-high-appreciation-en-cumbaya-pichincha-u553032|https://cdn.fazwaz.com/wbr/iOKBcR9nFGk45eTF6d7mr5AQK_o/67x67/unit/553032/3-f515911875f5c62fe0cc446978d5b18f.jpg, https://cdn.fazwaz.com/wbr/LXQ7cLzLKPK5XDbKxI6WrOaoZSc/67x67/unit/553032/4-c7eb69c8d3f14ade4bb54564aff0f88a.jpg, https://cdn.fazwaz.com/wbr/JPWvUY72OGY1cO0p8tdb9n-8BYA/67x67/unit/553032/5-c32b06bb8c512451f8bf8a66b371a8d7.jpg, https://cdn.fazwaz.com/wbr/JvI5d038kQElGE1sPVmQEcj2ZO0/67x67/unit/553032/6-6aabe844df393e7f1b9d5dbf5ecd0694.jpg|N/A
$123,480 ($1,739/m²)|S 103: Beautiful Contemporary Condo for Sale in Cumbayá with Open Floor Plan and Outdoor Living Room|Tumbaco, Quito|($1,739/m²)|($1,739/m²)|1|1|Esta propiedad es un apartamento de 71 m² con 1 habitación y 1 baño que está disponible para en venta.. Puede comprar esta propiedad a partir de $123,480 ($1,739/m²).|Updated: hace 4 años|Apartamento|https://www.fazwaz.com.ec/propiedad-e-Inmueble-venta/1-habitación-apartamento-en-venta-en-s-103-beautiful-contemporary-condo-for-sale-in-cumbaya-with-open-floor-plan-and-outdoor-living-room-en-tumbaco-pichincha-u552984|https://cdn.fazwaz.com/wbr/GFJt6K196F5xpauziChQqgqdRYk/67x67/unit/552984/3-1b0545851e0f20a8930b67a0785230d9.jpg, https://cdn.fazwaz.com/wbr/XDAwMzBHXYbuxm7xzQBmIhjDvII/67x67/unit/552984/4-477893e7fc374e91c8414b09dbabf826.jpg, https://cdn.fazwaz.com/wbr/huomvpGMVPzdNZ00P2g97Hvjxak/67x67/unit/552984/5-886a0e5afe9b9eb95d40cd47b46665f8.jpg, https://cdn.fazwaz.com/wbr/EQcR1CvQOF_0PzPB3dtHJFWdKnI/67x67/unit/552984/6-adcf98b42ef0f84387c5be58fd6df230.jpg|N/A
$238,000 ($1,566/m²)|Condado - Quito|Quito, Quito|($1,566/m²)|($1,566/m²)|3|2|Esta propiedad es un apartamento de 152 m² con 3 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $238,000 ($1,566/m²).|Updated: hace 4 años|Apartamento|https://www.fazwaz.com.ec/propiedad-e-Inmueble-venta/3-habitación-apartamento-en-venta-en-condado-quito-en-quito-pichincha-u551602|https://cdn.fazwaz.com/wbr/G8AcFWi87MLm2prdWWOcDP5Wp-k/67x67/unit/551602/3-2c4df9c0fb7f1f5b37216e6bcf921feb.jpg, https://cdn.fazwaz.com/wbr/5fdnL4WslA9sl3LZovudcywwRzI/67x67/unit/551602/4-e89d7256f6e450c87ae4228587c166f9.jpg, https://cdn.fazwaz.com/wbr/vnzqORnyEkR2rvkRMbEJAGzlReA/67x67/unit/551602/5-71d17418678227189fa1b89e33e0b833.jpg, https://cdn.fazwaz.com/wbr/QBTkGd7jqnhwo8MEgnxotSkmSBM/67x67/unit/551602/6-853853d511ac1ab4bfb325d43ce0a4bd.jpg|N/A
$125,000 ($833/m²)|La Carolina - Quito|Quito, Quito|($833/m²)|($833/m²)|1|1|Esta propiedad es un apartamento de 150 m² con 1 habitación y 1 baño que está disponible para en venta.. Puede comprar esta propiedad a partir de $125,000 ($833/m²).|Updated: hace 4 años|Apartamento|https://www.fazwaz.com.ec/propiedad-e-Inmueble-venta/1-habitación-apartamento-en-venta-en-la-carolina-quito-en-quito-pichincha-u551514|https://cdn.fazwaz.com/wbr/kej6O1gvQznH4GKucaU4zqyZJOc/67x67/unit/551514/3-22be23b87471b25e85ebb0b4e4f1b538.jpg, https://cdn.fazwaz.com/wbr/fBeEtbWOEe88dYhGoAKwht3vEJ4/67x67/unit/551514/4-5fae8109cf13837eba840ed31a150c81.jpg, https://cdn.fazwaz.com/wbr/eJQpamP39snfcfASTYftsX9U59o/67x67/unit/551514/5-44791d7fcf1dd68b4bd7bbd0e2aefe74.jpg, https://cdn.fazwaz.com/wbr/v6vOirTD_eITf__wAwlhpowsGSY/67x67/unit/551514/6-503e405163d659867c234fe5eca43461.jpg|N/A
$264,100 ($1,971/m²)|#317 KIRO Cumbayá: INVESTOR ALERT! Luxury 3BR Condo in Zone with High Appreciation|Cumbaya, Quito|($1,971/m²)|($1,971/m²)|3|2|Esta propiedad es un apartamento de 134 m² con 3 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $264,100 ($1,971/m²).|Updated: hace 4 años|Apartamento|https://www.fazwaz.com.ec/propiedad-e-Inmueble-venta/3-habitación-apartamento-en-venta-en-317-kiro-cumbaya-investor-alert-luxury-3br-condo-in-zone-with-high-appreciation-en-cumbaya-pichincha-u551576|https://cdn.fazwaz.com/wbr/KVUMoKj85xMiy1Kqr-yJ0VYgjPY/67x67/unit/551576/3-8bb1e72f7949d43900fde70cb2fb6f74.jpg, https://cdn.fazwaz.com/wbr/cU0EjEG43Cb0W9-04nPSMo4csaA/67x67/unit/551576/4-7a1bb85cff4b442c3439f4df65c00694.jpg, https://cdn.fazwaz.com/wbr/c20uqL7UmdL0Yud0968KdHuyRIA/67x67/unit/551576/5-045cf5bf8c734491195b22deeb92765a.jpg, https://cdn.fazwaz.com/wbr/mL4cpuTdlUbWNj0Z3hSvyS7pb9M/67x67/unit/551576/6-fa323bf00475b690dd313e8d0ab8adae.jpg|N/A
$159,696 ($1,597/m²)|101: Brand-new Condo with One of the Best Views of Quito's Historic Center|Quito, Quito|($1,597/m²)|($1,597/m²)|2|1|Esta propiedad es un apartamento de 100 m² con 2 habitaciones y 1 baño que está disponible para en venta.. Puede comprar esta propiedad a partir de $159,696 ($1,597/m²).|Updated: hace 4 años|Apartamento|https://www.fazwaz.com.ec/propiedad-e-Inmueble-venta/2-habitación-apartamento-en-venta-en-101-brand-new-condo-with-one-of-the-best-views-of-quitos-historic-center-en-quito-pichincha-u551944|https://cdn.fazwaz.com/wbr/i474pBrBjGm7jw3c4cHXR2W2C7w/67x67/unit/551944/3-1ea528f05e4ea34eecb0133c41a3a386.jpg, https://cdn.fazwaz.com/wbr/9XpFM_mjpdCn8gDv8jiaAIvGxjc/67x67/unit/551944/4-9bc123df35120a03c5a24bdc9e971c94.jpg, https://cdn.fazwaz.com/wbr/qIFO58r4V631PSBRW1gRDfJt9Y8/67x67/unit/551944/5-0ef3abc016f94acd8c3089363e2e556c.jpg, https://cdn.fazwaz.com/wbr/XP9geBMKhImLxLADtHMtkKwL-sk/67x67/unit/551944/6-f1abb8796816121953589aad87a1677e.jpg|N/A
$143,000 ($2,167/m²)|#15 Anantara: Exclusive Condo for Sale in Cumbayá|Cumbaya, Quito|($2,167/m²)|($2,167/m²)|1|1|Esta propiedad es un apartamento de 66 m² con 1 habitación y 1 baño que está disponible para en venta.. Puede comprar esta propiedad a partir de $143,000 ($2,167/m²).|Updated: hace 4 años|Apartamento|https://www.fazwaz.com.ec/propiedad-e-Inmueble-venta/1-habitación-apartamento-en-venta-en-15-anantara-exclusive-condo-for-sale-in-cumbaya-en-cumbaya-pichincha-u551948|https://cdn.fazwaz.com/wbr/nRgOAMXOynjyIV6H86_lOUsQA0U/67x67/unit/551948/3-af0e68d4fd0fd8a824375bfaa3b8fb4a.jpg, https://cdn.fazwaz.com/wbr/7dAi45dlFpUUnbFELUePCdtKCq0/67x67/unit/551948/4-ad9471d46000c85a9c3b782c9a1ce786.jpg, https://cdn.fazwaz.com/wbr/eNWySNmx3HpdBzNHLOijw_Ys0fE/67x67/unit/551948/5-9d9c72b7df0b28acc262e984d69dd95b.jpg, https://cdn.fazwaz.com/wbr/lZF0ywj9uPVkQsbD0dUGebTHAIc/67x67/unit/551948/6-bc29751bc0d181e2d869e260481df552.jpg|N/A
$345,150 ($2,566/m²)|#112 KIRO Cumbayá: INVESTOR ALERT! Luxury 3BR Condo in Zone with High Appreciation|Cumbaya, Quito|($2,566/m²)|($2,566/m²)|3|2|Esta propiedad es un apartamento de 134.50 m² con 3 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $345,150 ($2,566/m²).|Updated: hace 4 años|Apartamento|https://www.fazwaz.com.ec/propiedad-e-Inmueble-venta/3-habitación-apartamento-en-venta-en-112-kiro-cumbaya-investor-alert-luxury-3br-condo-in-zone-with-high-appreciation-en-cumbaya-pichincha-u551898|https://cdn.fazwaz.com/wbr/BGybqz1BrTU8ovH5tgB_ByuEwCs/67x67/unit/551898/3-d3a7a3397e9d5cc21bbd3089dc16267d.jpg, https://cdn.fazwaz.com/wbr/OQqkaIA3ZERf3Pl4OP-FAnz-syk/67x67/unit/551898/4-ca07928a0f12fd419e492f08cbd70ad0.jpg, https://cdn.fazwaz.com/wbr/13Cm2k6_5JGpFQcOPom751JbneY/67x67/unit/551898/5-c32b06bb8c512451f8bf8a66b371a8d7.jpg, https://cdn.fazwaz.com/wbr/b1DHngmsak4QTHcycR0AqJLlfC0/67x67/unit/551898/6-6aabe844df393e7f1b9d5dbf5ecd0694.jpg|N/A
$323,400 ($2,198/m²)|#4 Anantara: Exclusive Condo for Sale in Cumbayá|Cumbaya, Quito|($2,198/m²)|($2,198/m²)|3|2|Esta propiedad es un apartamento de 147.10 m² con 3 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $323,400 ($2,198/m²).|Updated: hace 4 años|Apartamento|https://www.fazwaz.com.ec/propiedad-e-Inmueble-venta/3-habitación-apartamento-en-venta-en-4-anantara-exclusive-condo-for-sale-in-cumbaya-en-cumbaya-pichincha-u552788|https://cdn.fazwaz.com/wbr/tUYrlhDz3RE-yaU4FpiVYNQ_ieI/67x67/unit/552788/3-ef462cd4f9d356cc479293bf07120d64.jpg, https://cdn.fazwaz.com/wbr/iMs2Sg_lQ7xXXt9zz3xsnKRYXdc/67x67/unit/552788/4-ad9471d46000c85a9c3b782c9a1ce786.jpg, https://cdn.fazwaz.com/wbr/OllQMWIqR52uoZbcZQIDIzDMexM/67x67/unit/552788/5-9d9c72b7df0b28acc262e984d69dd95b.jpg, https://cdn.fazwaz.com/wbr/Q6sApO37OFeMsJ7tmekn4_y_p6E/67x67/unit/552788/6-bc29751bc0d181e2d869e260481df552.jpg|N/A
$216,045 ($1,675/m²)|S 102: Beautiful Contemporary Condo for Sale in Cumbayá with Open Floor Plan and Outdoor Living Room|Tumbaco, Quito|($1,675/m²)|($1,675/m²)|2|2|Esta propiedad es un apartamento de 129 m² con 2 habitaciones y 2 baños que está disponible para en venta.. Puede comprar esta propiedad a partir de $216,045 ($1,675/m²).|Updated: hace 4 años|Apartamento|https://www.fazwaz.com.ec/propiedad-e-Inmueble-venta/2-habitación-apartamento-en-venta-en-s-102-beautiful-contemporary-condo-for-sale-in-cumbaya-with-open-floor-plan-and-outdoor-living-room-en-tumbaco-pichincha-u552834|https://cdn.fazwaz.com/wbr/UxePDmLgn6SQAmjM8brgqGrX03M/67x67/unit/552834/3-9fcb812de5865b5da87567f9f4b3f520.jpg, https://cdn.fazwaz.com/wbr/-SHtrKRTkUUDtJmlPIRDEtoU9Wc/67x67/unit/552834/4-477893e7fc374e91c8414b09dbabf826.jpg, https://cdn.fazwaz.com/wbr/lySoTbtbwXOlCdfIv2uTKi7wM0Q/67x67/unit/552834/5-886a0e5afe9b9eb95d40cd47b46665f8.jpg, https://cdn.fazwaz.com/wbr/F6NNaEf03J-CbBRKlO4tRCWJxPk/67x67/unit/552834/6-adcf98b42ef0f84387c5be58fd6df230.jpg|N/A
